Date,Open,High,Low,Close,Adj Close,Volume
2020-12-30,25.250000,26.920000,25.110001,25.889999,25.889999,7996900
2020-12-31,26.150000,26.549999,25.059999,25.639999,25.639999,5148200
2021-01-04,26.000000,26.770000,24.719999,25.309999,25.309999,5708500
2021-01-05,25.049999,25.830000,24.260000,24.740000,24.740000,5279300
2021-01-06,27.170000,31.650000,26.290001,29.730000,29.730000,22615000
2021-01-07,32.250000,32.860001,30.459999,31.299999,31.299999,12238700
2021-01-08,32.029999,32.080002,28.750000,29.299999,29.299999,10154100
2021-01-11,28.320000,30.780001,28.120001,29.650000,29.650000,6668100
2021-01-12,30.170000,30.930000,28.830000,30.240000,30.240000,7646100
2021-01-13,30.490000,32.070000,29.270000,31.590000,31.590000,7675200
2021-01-14,31.680000,36.060001,31.590000,35.080002,35.080002,10470900
2021-01-15,34.380001,34.549999,31.549999,31.959999,31.959999,11724800
2021-01-19,34.180000,37.770000,32.849998,36.849998,36.849998,13721800
2021-01-20,37.400002,38.049999,35.900002,37.369999,37.369999,8992400
2021-01-21,38.000000,44.549999,37.150002,43.779999,43.779999,18875700
2021-01-22,42.110001,47.220001,41.009998,47.209999,47.209999,16190600
2021-01-25,48.400002,54.990002,42.959999,47.330002,47.330002,21466800
2021-01-26,47.910000,54.279999,46.189999,53.919998,53.919998,15387000
2021-01-27,50.520000,53.950001,47.599998,52.340000,52.340000,15701400
2021-01-28,50.880001,53.259998,45.250000,52.889999,52.889999,16258000
2021-01-29,53.459999,57.520000,50.549999,54.009998,54.009998,12013500
2021-02-01,54.200001,54.599998,45.299999,48.689999,48.689999,15173100
2021-02-02,47.540001,49.000000,43.279999,43.759998,43.759998,10338700
2021-02-03,43.200001,45.139999,41.529999,44.790001,44.790001,9121700
2021-02-04,43.330002,44.000000,40.009998,40.130001,40.130001,9927900
2021-02-05,40.380001,45.700001,38.209999,43.529999,43.529999,11316600
2021-02-08,44.480000,46.389999,44.049999,45.349998,45.349998,6871800
2021-02-09,45.040001,49.660000,45.040001,49.119999,49.119999,7878500
2021-02-10,49.500000,51.410000,46.419998,49.139999,49.139999,7380300
2021-02-11,49.630001,51.720001,47.509998,49.959999,49.959999,4981900
2021-02-12,49.130001,50.459999,47.549999,49.810001,49.810001,3570700
2021-02-16,49.790001,50.320000,46.290001,46.540001,46.540001,4527400
2021-02-17,45.549999,45.560001,42.599998,43.610001,43.610001,6405400
2021-02-18,39.630001,41.320000,36.000000,36.330002,36.330002,11473900
2021-02-19,38.330002,39.490002,37.250000,37.759998,37.759998,7023100
2021-02-22,35.810001,37.099998,32.919998,33.529999,33.529999,8510000
2021-02-23,30.920000,35.840000,28.309999,35.389999,35.389999,13515800
2021-02-24,35.799999,37.959999,33.730000,37.750000,37.750000,5320300
2021-02-25,37.700001,38.700001,34.130001,34.590000,34.590000,4933000
2021-02-26,35.220001,36.119999,33.049999,34.770000,34.770000,5475300
2021-03-01,36.119999,38.410000,35.410000,38.189999,38.189999,4649200
2021-03-02,38.000000,38.490002,34.599998,35.150002,35.150002,5169100
2021-03-03,35.029999,36.180000,32.419998,32.950001,32.950001,5009200
2021-03-04,31.780001,33.250000,29.580000,31.270000,31.270000,6495900
2021-03-05,32.000000,32.000000,27.389999,30.680000,30.680000,6446800
2021-03-08,30.080000,31.700001,28.639999,29.090000,29.090000,3835000
2021-03-09,30.700001,33.240002,30.440001,32.250000,32.250000,5898100
2021-03-10,33.560001,34.980000,31.680000,32.299999,32.299999,3742900
2021-03-11,34.000000,36.080002,33.500000,35.919998,35.919998,4408100
2021-03-12,34.549999,36.730000,33.799999,36.299999,36.299999,3226600
2021-03-15,36.430000,37.880001,35.799999,36.950001,36.950001,2847700
2021-03-16,35.590000,36.250000,33.119999,34.000000,34.000000,4631700
2021-03-17,32.990002,33.820000,31.879999,33.290001,33.290001,5476000
2021-03-18,32.470001,32.669998,30.469999,30.670000,30.670000,3723500
2021-03-19,30.920000,32.580002,30.299999,31.860001,31.860001,6992900
2021-03-22,33.000000,35.090000,32.700001,34.439999,34.439999,3946600
2021-03-23,33.459999,34.369999,31.660000,32.150002,32.150002,3767000
2021-03-24,32.880001,33.009998,30.450001,30.690001,30.690001,3247300
2021-03-25,29.639999,32.139999,29.200001,31.559999,31.559999,4076700
2021-03-26,31.549999,33.410000,31.049999,32.869999,32.869999,3524200
2021-03-29,32.320000,32.779999,29.059999,29.240000,29.240000,5037600
2021-03-30,29.299999,31.980000,29.280001,31.520000,31.520000,3839200
2021-03-31,33.020000,34.139999,32.139999,33.450001,33.450001,5102000
2021-04-01,34.720001,35.000000,32.880001,33.240002,33.240002,3660400
2021-04-05,34.160000,34.320000,32.169998,32.500000,32.500000,3710600
2021-04-06,32.389999,34.459999,32.349998,32.529999,32.529999,2945500
2021-04-07,32.349998,32.529999,29.490000,29.540001,29.540001,5271400
2021-04-08,30.250000,30.280001,29.270000,29.379999,29.379999,3702300
2021-04-09,29.120001,30.049999,28.500000,29.709999,29.709999,2591800
2021-04-12,29.540001,29.540001,27.590000,28.200001,28.200001,3785900
2021-04-13,28.150000,28.740000,27.549999,28.549999,28.549999,2926100
2021-04-14,28.750000,30.120001,28.350000,28.410000,28.410000,3817000
2021-04-15,29.000000,29.180000,25.580000,26.440001,26.440001,5020500
2021-04-16,26.549999,27.920000,26.389999,27.370001,27.370001,6393400
2021-04-19,27.450001,28.219999,26.070000,26.540001,26.540001,3803600
2021-04-20,26.500000,26.900000,25.170000,25.930000,25.930000,3248600
2021-04-21,25.600000,27.410000,25.020000,27.379999,27.379999,2589700
2021-04-22,27.920000,28.980000,27.400000,27.660000,27.660000,4502100
